"","region_code","region_description","parent_location","facility_state","site_type","inventory_type"
"200","","","Union Village Dam","","",""
"201","","","W. Kerr Scott Dam & Reservoir","","",""
"202","","","Waco Lake","","",""
"203","","","Walter F. George Lake","","",""
"204","","","Wappapello Lake","","",""
"205","","","Waurika Lake","","",""
"206","","","West Point Lake","","",""
"207","","","West Thompson Lake","","",""
"208","","","Westville Lake","","",""
"209","","","Whitney Lake","","",""
"210","","","William H. Harsha Lake","","",""
"211","","","Wilson Lake","","",""
"212","","","Wright Patman Lake","","",""
"213","","","Youghiogheny River Lake","","",""
